epoch,custom_KLD,loss,val_custom_KLD,val_loss
0,0.31792125,0.8567918389390557,0.86028254,1.6795697367036497
1,0.14411667,0.6636977130910019,0.40561286,1.0787338534474888
2,0.18979579,0.7171179533198282,0.16801105,0.7067877748311856
3,0.10934956,0.6171767579399662,0.13904789,0.6513274573918545
4,0.100654386,0.5826706404100249,0.19888602,0.7588180329376485
5,0.09136633,0.5498472095761464,0.26967496,0.8325058304386221
6,0.08336005,0.5368300148999536,0.17071477,1.004317868581582
7,0.08058525,0.5248319126375309,0.074235424,0.5458348913368208
8,0.08537545,0.5188669102080973,0.102527134,0.5400205441625603
9,0.0717407,0.49815708805214276,0.07180238,0.5291824542082749
10,0.06897052,0.48987117654833445,0.10162834,0.5549087751479376
11,0.14050871,0.5578054218065172,0.2460863,0.720796487032077
